mA tanb xsec_gg_H
225.0 1.6 9.66539287567
225.0 1.7 9.01037216187
225.0 1.8 9.01037216187
225.0 1.9 8.42427444458
225.0 2.0 7.42158126831
225.0 2.1 7.42158126831
225.0 2.2 6.5976524353
225.0 2.3 6.5976524353
225.0 2.4 5.91402101517
225.0 2.5 5.61559963226
225.0 2.6 5.61559963226
225.0 2.7 5.09125518799
225.0 2.8 5.09125518799
225.0 2.9 4.64889192581
225.0 3.0 4.45365047455
225.0 3.1 4.45365047455
225.0 3.2 4.10717201233
225.0 3.3 4.10717201233
225.0 3.4 3.81096529961
225.0 3.5 3.67917990685
225.0 3.6 3.67917990685
225.0 3.7 3.44436812401
225.0 3.8 3.44436812401
225.0 3.9 3.2429330349
225.0 4.0 3.15309071541
225.0 4.1 3.15309071541
225.0 4.2 3.06974291801
225.0 4.3 2.9206135273
225.0 4.4 2.8539390564
225.0 4.5 2.79207062721
225.0 4.6 2.79207062721
225.0 4.7 2.73473453522
225.0 4.8 2.63250803947
225.0 4.9 2.58712458611
230.0 1.0 15.794965744
230.0 1.1 14.2824640274
230.0 1.2 12.9145078659
230.0 1.3 12.9145078659
230.0 1.4 11.7753458023
230.0 1.5 9.96538829803
230.0 1.6 9.22861099243
230.0 1.7 8.57709026337
230.0 1.8 8.57709026337
230.0 1.9 7.99717473984
230.0 2.0 7.01176309586
230.0 2.1 7.01176309586
230.0 2.2 6.2086558342
230.0 2.3 6.2086558342
230.0 2.4 5.54630041122
230.0 2.5 5.25870275497
230.0 2.6 5.25870275497
230.0 2.7 4.75486326218
230.0 2.8 4.75486326218
230.0 2.9 4.33161687851
230.0 3.0 4.14546298981
230.0 3.1 4.14546298981
230.0 3.2 3.81580114365
230.0 3.3 3.81580114365
230.0 3.4 3.53470849991
230.0 3.5 3.40984320641
230.0 3.6 3.40984320641
230.0 3.7 3.18734741211
230.0 3.8 3.18734741211
230.0 3.9 2.99691462517
230.0 4.0 2.91204595566
230.0 4.1 2.91204595566
230.0 4.2 2.8333799839
230.0 4.3 2.69263839722
230.0 4.4 2.62979698181
230.0 4.5 2.57149457932
230.0 4.6 2.57149457932
230.0 4.7 2.51736116409
230.0 4.8 2.42073154449
230.0 4.9 2.37775945663
235.0 1.0 15.4737987518
235.0 1.1 13.9235363007
235.0 1.2 12.5287485123
235.0 1.3 12.5287485123
235.0 1.4 11.3743419647
235.0 1.5 9.55585289001
235.0 1.6 8.82201862335
235.0 1.7 8.17619514465
235.0 1.8 8.17619514465
235.0 1.9 7.60406494141
235.0 2.0 6.63747930527
235.0 2.1 6.63747930527
235.0 2.2 5.85562038422
235.0 2.3 5.85562038422
235.0 2.4 5.2143702507
235.0 2.5 4.93710374832
235.0 2.6 4.93710374832
235.0 2.7 4.45312833786
235.0 2.8 4.45312833786
235.0 2.9 4.04790496826
235.0 3.0 3.87025213242
235.0 3.1 3.87025213242
235.0 3.2 3.55613660812
235.0 3.3 3.55613660812
235.0 3.4 3.28892683983
235.0 3.5 3.17065811157
235.0 3.6 3.17065811157
235.0 3.7 2.95966720581
235.0 3.8 2.95966720581
235.0 3.9 2.77897024155
235.0 4.0 2.69859647751
235.0 4.1 2.69859647751
235.0 4.2 2.62410783768
235.0 4.3 2.49104809761
235.0 4.4 2.43161940575
235.0 4.5 2.37644910812
235.0 4.6 2.37644910812
235.0 4.7 2.32524943352
235.0 4.8 2.23376941681
235.0 4.9 2.19299888611
240.0 1.0 15.1592197418
240.0 1.1 13.5763425827
240.0 1.2 12.1601305008
240.0 1.3 12.1601305008
240.0 1.4 10.9945077896
240.0 1.5 9.17356395721
240.0 1.6 8.44457817078
240.0 1.7 7.80580663681
240.0 1.8 7.80580663681
240.0 1.9 7.24243783951
240.0 2.0 6.29568767548
240.0 2.1 6.29568767548
240.0 2.2 5.53506422043
240.0 2.3 5.53506422043
240.0 2.4 4.91483163834
240.0 2.5 4.64708805084
240.0 2.6 4.64708805084
240.0 2.7 4.18191194534
240.0 2.8 4.18191194534
240.0 2.9 3.793643713
240.0 3.0 3.62367868423
240.0 3.1 3.62367868423
240.0 3.2 3.32395029068
240.0 3.3 3.32395029068
240.0 3.4 3.06951665878
240.0 3.5 2.95697689056
240.0 3.6 2.95697689056
240.0 3.7 2.75721001625
240.0 3.8 2.75721001625
240.0 3.9 2.58551168442
240.0 4.0 2.50903463364
240.0 4.1 2.50903463364
240.0 4.2 2.43823552132
240.0 4.3 2.31203842163
240.0 4.4 2.25568294525
240.0 4.5 2.20339155197
240.0 4.6 2.20339155197
240.0 4.7 2.15488433838
240.0 4.8 2.06805729866
240.0 4.9 2.02931118011
245.0 1.0 14.8556985855
245.0 1.1 13.2441692352
245.0 1.2 11.8103780746
245.0 1.3 11.8103780746
245.0 1.4 10.6368274689
245.0 1.5 8.81789970398
245.0 1.6 8.09503555298
245.0 1.7 7.46429300308
245.0 1.8 7.46429300308
245.0 1.9 6.91006422043
245.0 2.0 5.98351192474
245.0 2.1 5.98351192474
245.0 2.2 5.24387788773
245.0 2.3 5.24387788773
245.0 2.4 4.64374256134
245.0 2.5 4.38540935516
245.0 2.6 4.38540935516
245.0 2.7 3.93768548965
245.0 2.8 3.93768548965
245.0 2.9 3.56530785561
245.0 3.0 3.40237402916
245.0 3.1 3.40237402916
245.0 3.2 3.1160492897
245.0 3.3 3.1160492897
245.0 3.4 2.87334060669
245.0 3.5 2.76607680321
245.0 3.6 2.76607680321
245.0 3.7 2.5757291317
245.0 3.8 2.5757291317
245.0 3.9 2.41311717033
245.0 4.0 2.34046721458
245.0 4.1 2.34046721458
245.0 4.2 2.27304506302
245.0 4.3 2.15263533592
245.0 4.4 2.09900283813
245.0 4.5 2.04931378365
245.0 4.6 2.04931378365
245.0 4.7 2.00318980217
245.0 4.8 1.92066395283
245.0 4.9 1.88382053375
250.0 1.0 14.5669326782
250.0 1.1 12.9294042587
250.0 1.2 11.4808492661
250.0 1.3 11.4808492661
250.0 1.4 10.3019752502
250.0 1.5 8.48781776428
250.0 1.6 7.7719836235
250.0 1.7 7.14981889725
250.0 1.8 7.14981889725
250.0 1.9 6.60497760773
250.0 2.0 5.69839143753
250.0 2.1 5.69839143753
250.0 2.2 4.97910261154
250.0 2.3 4.97910261154
250.0 2.4 4.39801454544
250.0 2.5 4.1488442421
250.0 2.6 4.1488442421
250.0 2.7 3.71720337868
250.0 2.8 3.71720337868
250.0 2.9 3.35954356194
250.0 3.0 3.20362186432
250.0 3.1 3.20362186432
250.0 3.2 2.92948651314
250.0 3.3 2.92948651314
250.0 3.4 2.69762539864
250.0 3.5 2.59512591362
250.0 3.6 2.59512591362
250.0 3.7 2.41334867477
250.0 3.8 2.41334867477
250.0 3.9 2.25824785233
250.0 4.0 2.18925619125
250.0 4.1 2.18925619125
250.0 4.2 2.1253695488
250.0 4.3 2.01074767113
250.0 4.4 1.95947670937
250.0 4.5 1.91194975376
250.0 4.6 1.91194975376
250.0 4.7 1.86788892746
250.0 4.8 1.78906369209
250.0 4.9 1.75389492512
255.0 1.0 14.2964706421
255.0 1.1 12.6342105865
255.0 1.2 11.1726522446
255.0 1.3 11.1726522446
255.0 1.4 9.98985671997
255.0 1.5 8.18230628967
255.0 1.6 7.47390794754
255.0 1.7 6.86069440842
255.0 1.8 6.86069440842
255.0 1.9 6.32520389557
255.0 2.0 5.43819379807
255.0 2.1 5.43819379807
255.0 2.2 4.73815870285
255.0 2.3 4.73815870285
255.0 2.4 4.17511558533
255.0 2.5 3.93435549736
255.0 2.6 3.93435549736
255.0 2.7 3.51823806763
255.0 2.8 3.51823806763
255.0 2.9 3.17432546616
255.0 3.0 3.02428841591
255.0 3.1 3.02428841591
255.0 3.2 2.76139473915
255.0 3.3 2.76139473915
255.0 3.4 2.53992819786
255.0 3.5 2.4418399334
255.0 3.6 2.4418399334
255.0 3.7 2.26781535149
255.0 3.8 2.26781535149
255.0 3.9 2.11947703362
255.0 4.0 2.05356860161
255.0 4.1 2.05356860161
255.0 4.2 1.99250531197
255.0 4.3 1.88343036175
255.0 4.4 1.83469855785
255.0 4.5 1.78934526443
255.0 4.6 1.78934526443
255.0 4.7 1.74715173244
255.0 4.8 1.67161607742
255.0 4.9 1.63789224625
260.0 1.0 14.0473270416
260.0 1.1 12.360376358
260.0 1.2 10.8865833282
260.0 1.3 10.8865833282
260.0 1.4 9.70059299469
260.0 1.5 7.90058469772
260.0 1.6 7.19958353043
260.0 1.7 6.59516000748
260.0 1.8 6.59516000748
260.0 1.9 6.0689201355
260.0 2.0 5.20091962814
260.0 2.1 5.20091962814
260.0 2.2 4.51889562607
260.0 2.3 4.51889562607
260.0 2.4 3.97290611267
260.0 2.5 3.73994517326
260.0 2.6 3.73994517326
260.0 2.7 3.33834385872
260.0 2.8 3.33834385872
260.0 2.9 3.00670862198
260.0 3.0 2.86280345917
260.0 3.1 2.86280345917
260.0 3.2 2.61009478569
260.0 3.3 2.61009478569
260.0 3.4 2.39750361443
260.0 3.5 2.30392050743
260.0 3.6 2.30392050743
260.0 3.7 2.13724017143
260.0 3.8 2.13724017143
260.0 3.9 1.99493849277
260.0 4.0 1.93178296089
260.0 4.1 1.93178296089
260.0 4.2 1.87331974506
260.0 4.3 1.76883947849
260.0 4.4 1.72219347954
260.0 4.5 1.67886507511
260.0 4.6 1.67886507511
260.0 4.7 1.63860607147
260.0 4.8 1.56648778915
260.0 4.9 1.53411948681
265.0 1.0 13.8227958679
265.0 1.1 12.1097316742
265.0 1.2 10.6234207153
265.0 1.3 10.6234207153
265.0 1.4 9.43428039551
265.0 1.5 7.64162921906
265.0 1.6 6.94792366028
265.0 1.7 6.35186576843
265.0 1.8 6.35186576843
265.0 1.9 5.83448028564
265.0 2.0 4.98453187943
265.0 2.1 4.98453187943
265.0 2.2 4.31950902939
265.0 2.3 4.31950902939
265.0 2.4 3.78944039345
265.0 2.5 3.56372213364
265.0 2.6 3.56372213364
265.0 2.7 3.17544221878
265.0 2.8 3.17544221878
265.0 2.9 2.85549974442
265.0 3.0 2.71653819084
265.0 3.1 2.71653819084
265.0 3.2 2.47359108925
265.0 3.3 2.47359108925
265.0 3.4 2.26899647713
265.0 3.5 2.17904496193
265.0 3.6 2.17904496193
265.0 3.7 2.01965761185
265.0 3.8 2.01965761185
265.0 3.9 1.88303947449
265.0 4.0 1.82228147984
265.0 4.1 1.82228147984
265.0 4.2 1.76613306999
265.0 4.3 1.66589379311
265.0 4.4 1.6210975647
265.0 4.5 1.57949638367
265.0 4.6 1.57949638367
265.0 4.7 1.54084146023
265.0 4.8 1.4715385437
265.0 4.9 1.44052255154
270.0 1.0 13.6266231537
270.0 1.1 11.8843412399
270.0 1.2 10.383893013
270.0 1.3 10.383893013
270.0 1.4 9.1909828186
270.0 1.5 7.40470933914
270.0 1.6 6.71780157089
270.0 1.7 6.12958574295
270.0 1.8 6.12958574295
270.0 1.9 5.62062597275
270.0 2.0 4.78738737106
270.0 2.1 4.78738737106
270.0 2.2 4.13827228546
270.0 2.3 4.13827228546
270.0 2.4 3.62289810181
270.0 2.5 3.4039850235
270.0 2.6 3.4039850235
270.0 2.7 3.02795767784
270.0 2.8 3.02795767784
270.0 2.9 2.71876788139
270.0 3.0 2.5846517086
270.0 3.1 2.5846517086
270.0 3.2 2.35042643547
270.0 3.3 2.35042643547
270.0 3.4 2.15332698822
270.0 3.5 2.0665409565
270.0 3.6 2.0665409565
270.0 3.7 1.91326487064
270.0 3.8 1.91326487064
270.0 3.9 1.78229773045
270.0 4.0 1.7238817215
270.0 4.1 1.7238817215
270.0 4.2 1.66974890232
270.0 4.3 1.57320034504
270.0 4.4 1.53014194965
270.0 4.5 1.49013197422
270.0 4.6 1.49013197422
270.0 4.7 1.45291662216
270.0 4.8 1.38613092899
270.0 4.9 1.3562182188
275.0 1.0 13.4639186859
275.0 1.1 11.686372757
275.0 1.2 10.1692247391
275.0 1.3 10.1692247391
275.0 1.4 8.97092342377
275.0 1.5 7.18925762177
275.0 1.6 6.50842428207
275.0 1.7 5.92720031738
275.0 1.8 5.92720031738
275.0 1.9 5.42603492737
275.0 2.0 4.6081943512
275.0 2.1 4.6081943512
275.0 2.2 3.97375297546
275.0 2.3 3.97375297546
275.0 2.4 3.471814394
275.0 2.5 3.25910186768
275.0 2.6 3.25910186768
275.0 2.7 2.89439415932
275.0 2.8 2.89439415932
275.0 2.9 2.59507465363
275.0 3.0 2.46535873413
275.0 3.1 2.46535873413
275.0 3.2 2.23881435394
275.0 3.3 2.23881435394
275.0 3.4 2.0490064621
275.0 3.5 1.96524226665
275.0 3.6 1.96524226665
275.0 3.7 1.81706380844
275.0 3.8 1.81706380844
275.0 3.9 1.69125175476
275.0 4.0 1.63508629799
275.0 4.1 1.63508629799
275.0 4.2 1.58297502995
275.0 4.3 1.48973619938
275.0 4.4 1.44817042351
275.0 4.5 1.40957486629
275.0 4.6 1.40957486629
275.0 4.7 1.37371730804
275.0 4.8 1.30928301811
275.0 4.9 1.28036808968
280.0 1.0 13.3412847519
280.0 1.1 11.5192308426
280.0 1.2 9.9808473587
280.0 1.3 9.9808473587
280.0 1.4 8.77468585968
280.0 1.5 6.99485254288
280.0 1.6 6.31904935837
280.0 1.7 5.74400520325
280.0 1.8 5.74400520325
280.0 1.9 5.24967288971
280.0 2.0 4.44578552246
280.0 2.1 4.44578552246
280.0 2.2 3.82475113869
280.0 2.3 3.82475113869
280.0 2.4 3.33501935005
280.0 2.5 3.12796711922
280.0 2.6 3.12796711922
280.0 2.7 2.77352523804
280.0 2.8 2.77352523804
280.0 2.9 2.48317670822
280.0 3.0 2.35749554634
280.0 3.1 2.35749554634
280.0 3.2 2.13818979263
280.0 3.3 2.13818979263
280.0 3.4 1.95455992222
280.0 3.5 1.87383711338
280.0 3.6 1.87383711338
280.0 3.7 1.73064386845
280.0 3.8 1.73064386845
280.0 3.9 1.60867726803
280.0 4.0 1.55464756489
280.0 4.1 1.55464756489
280.0 4.2 1.50459182262
280.0 4.3 1.41460931301
280.0 4.4 1.37437963486
280.0 4.5 1.33700025082
280.0 4.6 1.33700025082
280.0 4.7 1.30229747295
280.0 4.8 1.23999667168
280.0 4.9 1.21202611923
285.0 1.0 13.2690382004
285.0 1.1 11.3873882294
285.0 1.2 9.82094955444
285.0 1.3 9.82094955444
285.0 1.4 8.60333251953
285.0 1.5 6.82131767273
285.0 1.6 6.14922809601
285.0 1.7 5.57929754257
285.0 1.8 5.57929754257
285.0 1.9 5.09084606171
285.0 2.0 4.29928016663
285.0 2.1 4.29928016663
285.0 2.2 3.69024729729
285.0 2.3 3.69024729729
285.0 2.4 3.21140384674
285.0 2.5 3.00954008102
285.0 2.6 3.00954008102
285.0 2.7 2.66440343857
285.0 2.8 2.66440343857
285.0 2.9 2.38213086128
285.0 3.0 2.2601108551
285.0 3.1 2.2601108551
285.0 3.2 2.04731035233
285.0 3.3 2.04731035233
285.0 3.4 1.86921787262
285.0 3.5 1.79107093811
285.0 3.6 1.79107093811
285.0 3.7 1.65258789062
285.0 3.8 1.65258789062
285.0 3.9 1.53451132774
285.0 4.0 1.48202645779
285.0 4.1 1.48202645779
285.0 4.2 1.43348312378
285.0 4.3 1.34676980972
285.0 4.4 1.30782032013
285.0 4.5 1.27160274982
285.0 4.6 1.27160274982
285.0 4.7 1.23792159557
285.0 4.8 1.17747664452
285.0 4.9 1.1503534317
290.0 1.0 13.2663955688
290.0 1.1 11.2984380722
290.0 1.2 9.69285774231
290.0 1.3 9.69285774231
290.0 1.4 8.45860481262
290.0 1.5 6.66894578934
290.0 1.6 5.99884223938
290.0 1.7 5.4327044487
290.0 1.8 5.4327044487
290.0 1.9 4.94902276993
290.0 2.0 4.16798830032
290.0 2.1 4.16798830032
290.0 2.2 3.5694668293
290.0 2.3 3.5694668293
290.0 2.4 3.10027289391
290.0 2.5 2.90292811394
290.0 2.6 2.90292811394
290.0 2.7 2.56615328789
290.0 2.8 2.56615328789
290.0 2.9 2.29116487503
290.0 3.0 2.17239689827
290.0 3.1 2.17239689827
290.0 3.2 1.96544122696
290.0 3.3 1.96544122696
290.0 3.4 1.79236972332
290.0 3.5 1.71646130085
290.0 3.6 1.71646130085
290.0 3.7 1.58230602741
290.0 3.8 1.58230602741
290.0 3.9 1.46771001816
290.0 4.0 1.41681015491
290.0 4.1 1.41681015491
290.0 4.2 1.36961090565
290.0 4.3 1.28537011147
290.0 4.4 1.24770259857
290.0 4.5 1.21266448498
290.0 4.6 1.21266448498
290.0 4.7 1.17995083332
290.0 4.8 1.12114453316
290.0 4.9 1.09472751617
295.0 1.0 13.3820619583
295.0 1.1 11.2653398514
295.0 1.2 9.60235977173
295.0 1.3 9.60235977173
295.0 1.4 8.34326648712
295.0 1.5 6.53861141205
295.0 1.6 5.86827611923
295.0 1.7 5.30425930023
295.0 1.8 5.30425930023
295.0 1.9 4.82392263412
295.0 2.0 4.05142211914
